Game_Name,Rating,#Reviews,Rabatt%,OrdinariePris,Sale_Price,Release_Year,Win,linux,OSX,Date
Deep Rock Galactic - Supporter Upgrade ,5,#796,-67%,"14,99€","4,94€             ","28 Feb, 2018",1,0,0,21 Dec 2022
TRIANGLE STRATEGY ,3,#718,-40%,"59,99€","35,99€            ","13 Oct, 2022",1,0,0,21 Dec 2022
The Wonderful 101: Remastered ,4,#411,-55%,"44,99€","20,24€            ","19 May, 2020",1,0,0,21 Dec 2022
Life is Strange Remastered ,3,"#1,312",-50%,"39,99€","19,99€            ","1 Feb, 2022",1,0,0,21 Dec 2022
Fresh Start Cleaning Simulator ,4,#261,-20%,"8,19€6",",55€              ","20 Dec, 2022",1,0,0,21 Dec 2022
Foundation ,4,"#11,569",-25%,"29,99€","22,49€            ","1 Feb, 2019",1,0,0,21 Dec 2022
MELTY BLOOD: TYPE LUMINA ,4,"#5,994",-35%,"49,99€","32,49€            ","29 Sep, 2021",1,0,0,21 Dec 2022
The DioField Chronicle ,2,#508,-50%,"59,99€","29,99€            ","22 Sep, 2022",1,0,0,21 Dec 2022
SUPERHOT ,4,"#21,318",-70%,"22,99€","6,89€             ","25 Feb, 2016",1,1,1,21 Dec 2022
Cities: Skylines - Parklife ,4,#403,-60%,"14,99€","5,99€             ","24 May, 2018",1,1,1,21 Dec 2022
Cities: Skylines - Industries ,3,#684,-40%,"14,99€","8,99€             ","23 Oct, 2018",1,1,1,21 Dec 2022
Just Cause 3 XXL Edition ,4,"#87,965",-94%,"68,39€","4,06€             ",,1,0,0,21 Dec 2022
Hunt: Showdown - Lonely Howl ,4,#129,-30%,"9,99€6",",99€              ","28 Apr, 2022",1,0,0,21 Dec 2022
Cities: Skylines - After Dark ,4,#658,-50%,"14,99€","7,49€             ","24 Sep, 2015",1,1,1,21 Dec 2022
Cities: Skylines - Sunset Harbor ,2,#507,-40%,"14,99€","8,99€             ","26 Mar, 2020",1,1,1,21 Dec 2022
Shadow of the Tomb Raider: Definitive Edition ,4,"#49,144",,"19,50€","13,65€            ","14 Sep, 2018",1,1,1,21 Dec 2022
Lil Gator Game ,5,#593,-30%,"19,99€","9,99€             ","14 Dec, 2022",1,0,0,21 Dec 2022
FINAL FANTASY VIII - REMASTERED ,2,"#2,637",-50%,"29,99€","7,49€             ","3 Sep, 2019",1,0,0,21 Dec 2022
The Surge 2 ,3,"#4,976",-75%,"190,86","€84,19€           ","23 Sep, 2019",1,0,0,21 Dec 2022
Hearts of Iron IV: Ultimate Bundle ,4,"#165,074",-56%,"12,49€","11,24€            ",,1,1,1,21 Dec 2022
Super Lesbian Animal RPG ,3,#11,-10%,"59,99€","29,99€            ","20 Dec, 2022",1,0,0,21 Dec 2022
NEO: The World Ends with You ,4,#279,-50%,"70,96€","30,74€            ","19 Oct, 2022",1,0,0,21 Dec 2022
Cities: Skylines - New Player Bundle ,4,"#161,303",-57%,"37,99€","26,59€            ",,1,1,1,21 Dec 2022
EZ2ON REBOOT : R ,4,"#4,390",-30%,"12,99€","6,49€             ","14 Apr, 2022",1,0,0,21 Dec 2022
Cities: Skylines - Green Cities ,4,#431,-50%,"9,99€7",",99€              ","19 Oct, 2017",1,1,1,21 Dec 2022
Hunt: Showdown – Fear The Reaper ,4,#115,-20%,"9,99€4",",99€              ","25 Oct, 2022",1,0,0,21 Dec 2022
Planet Zoo: Aquatic Pack ,4,#264,-50%,"16,99€","5,94€             ","8 Dec, 2020",1,0,0,21 Dec 2022
Frostpunk: The Last Autumn ,3,"#1,050",-65%, , ,"21 Jan, 2020",1,0,1,21 Dec 2022
